timestamp, current1, current2, current3, current4, accel x, accel y, accel z, degrees x, degrees y, degrees z, baro temp, baro pressure
3723, 0.00123047, -0.000410156, 0, 0.00123047, 0.139444, 0.220175, 9.79532, -0.12207, 0.0152588, 0.0152588, 21.6146, 92214.5
3733, -0.00164062, 0.00287109, 0.000410156, 0.00205078, 0.156569, 0.232406, 9.78064, -0.0305176, 0.0610352, 0.0305176, 21.614, 92214.3
3743, 0.000410156, -0.000410156, 0.00246094, 0.00328125, 0.139444, 0.207943, 9.80511, -0.0915527, 0, 0.0610352, 21.6232, 92213.9
3753, 0.000410156, 0.00123047, -0.000410156, 0.00328125, 0.154122, 0.215282, 9.79532, -0.137329, -0.0305176, 0.0152588, 21.6176, 92213.8
3763, 0.00246094, 0.00246094, 0.000820312, 0.00205078, 0.146783, 0.227514, 9.79777, -0.12207, -0.0152588, 0.0457764, 21.6094, 92214.2
3773, 0.000410156, 0.00246094, 0.000820312, -0.000410156, 0.14189, 0.217728, 9.78554, -0.152588, 0.0152588, 0.0762939, 21.6104, 92214
3783, 0.000820312, -0.00246094, 0.00205078, 0.00164062, 0.159015, 0.244638, 9.77575, -0.0457764, 0.0152588, 0.0305176, 21.6119, 92213.5
3793, 0.00410156, -0.000410156, 0.00164062, 0.00123047, 0.166354, 0.212835, 9.74639, -0.0610352, 0, 0, 21.6142, 92213.5
3813, 0.000820312, 0.000820312, 0, 0.00164062, 0.163908, 0.227514, 9.78554, -0.0915527, -0.198364, 0.0152588, 21.618, 92213.5
3823, 0.000820312, 0.000820312, 0, -0.00164062, 0.151676, 0.237299, 9.8418, -0.0305176, -0.106812, 0.0152588, 21.6094, 92213.8
3833, -0.000410156, -0.000410156, 0.00164062, 0.000820312, 0.132105, 0.232406, 9.78798, 0, 0.0152588, 0.0152588, 21.6231, 92213.8
3843, 0.00164062, 0.00246094, 0, 0.000820312, 0.144337, 0.232406, 9.7782, -0.0610352, -0.0457764, 0.0762939, 21.6072, 92214.4
3853, 0.00246094, 0.00246094, 0.00164062, 0.00246094, 0.136998, 0.20305, 9.79288, -0.0305176, -0.0762939, 0.0610352, 21.6115, 92213.6
3863, 0.00246094, 0, 0.000820312, 0.00246094, 0.129658, 0.205496, 9.80511, -0.0610352, -0.0762939, 0, 21.611, 92213.9
3873, 0, -0.000820312, 0.000820312, 0.00410156, 0.139444, 0.232406, 9.81734, -0.12207, -0.0610352, 0, 21.6155, 92213.6
3893, -0.000820312, -0.000820312, 0.000410156, 0.00246094, 0.154122, 0.222621, 9.78554, -0.137329, -0.0305176, -0.0457764, 21.6137, 92213.6
3903, 0.00205078, 0.000820312, 0.00164062, 0.00123047, 0.173693, 0.215282, 9.79532, -0.0762939, 0.0152588, -0.0457764, 21.6219, 92213.9
3913, 0.00205078, -0.000820312, 0.00164062, 0.00123047, 0.198157, 0.215282, 9.80511, -0.0915527, 0.0152588, 0.0152588, 21.6133, 92213.9
3923, 0.00164062, -0.00123047, 0.000410156, 0.000820312, 0.17614, 0.215282, 9.78798, -0.0457764, -0.0457764, 0, 21.6213, 92213.3
3933, 0.00369141, -0.00123047, 0.000410156, -0.000410156, 0.190818, 0.242192, 9.75618, -0.0915527, -0.0305176, 0, 21.6104, 92214
3943, 0, -0.000410156, 0.00328125, 0.00369141, 0.173693, 0.22996, 9.78309, -0.0457764, -0.0457764, 0.0457764, 21.6198, 92213.5
3953, 0.00451172, 0.00123047, 0.000410156, 0.00205078, 0.156569, 0.220175, 9.80021, 0.0152588, -0.0915527, 0, 21.6134, 92213.8
3963, 0.00451172, 0.000410156, 0.00123047, 0.00205078, 0.149229, 0.242192, 9.77575, 0, -0.106812, 0.0610352, 21.6196, 92213.9
3983, 0.00246094, 0.00205078, -0.000410156, 0.00328125, 0.144337, 0.232406, 9.80511, -0.0152588, -0.152588, 0.0305176, 21.623, 92213.7
3993, -0.00123047, -0.000410156, -0.000410156, 0.00123047, 0.134551, 0.205496, 9.79288, 0, -0.274658, 0.106812, 21.611, 92213.7
4003, 0, 0.000410156, 0.000820312, 0.00164062, 0.11498, 0.227514, 9.79777, 0, -0.12207, 0.0152588, 21.6142, 92214.1
4013, 0.00287109, 0, 0.000820312, 0.00287109, 0.122319, 0.254424, 9.77575, -0.152588, -0.213623, 0.0305176, 21.621, 92213.7
4023, 0.00287109, 0.000410156, 0.00123047, 0.00287109, 0.11498, 0.261763, 9.7782, -0.0915527, -0.167847, 0.0915527, 21.6216, 92213.8
4033, -0.000410156, 0.000410156, 0.00123047, 0.00164062, 0.136998, 0.227514, 9.79532, -0.106812, -0.198364, 0.0762939, 21.6178, 92213.8
4043, 0.00164062, 0.000410156, 0.00328125, 0.00164062, 0.127212, 0.225067, 9.79777, -0.0152588, -0.183105, 0.0457764, 21.6282, 92213.2
4063, 0.00328125, 0.000820312, 0.00205078, 0.00287109, 0.168801, 0.227514, 9.83691, -0.0762939, -0.0305176, 0, 21.6236, 92214.1
4073, 0.00328125, 0.000820312, 0.00164062, 0.00287109, 0.154122, 0.227514, 9.85648, -0.167847, 0.0610352, -0.0152588, 21.6208, 92213.5
4083, 0.00246094, 0.000820312, 0.00164062, 0, 0.156569, 0.207943, 9.80266, -0.137329, 0.12207, 0.0457764, 21.6136, 92213.8
4093, 0.00246094, 0.000820312, 0.000410156, 0.000410156, 0.190818, 0.220175, 9.7782, -0.0457764, 0.0762939, 0.0305176, 21.6205, 92213.7
4103, 0.00287109, -0.000410156, 0.000410156, 0.00328125, 0.20305, 0.198157, 9.74884, 0, -0.0152588, 0.0915527, 21.6226, 92213.3
4113, 0.00246094, -0.00123047, 0.00205078, 0.00451172, 0.193264, 0.205496, 9.7782, 0.549316, -0.411987, -0.0457764, 21.6069, 92213.8
4123, 0.00246094, 0, -0.00123047, 0.00451172, 0.207943, 0.225067, 9.76597, 1.05286, -0.717163, -0.350952, 21.6093, 92213.9
4133, 0.00123047, -0.00164062, 0.00543457, 0.000820312, 0.207943, 0.283781, 9.79043, 0.350952, -0.427246, -0.366211, 21.6258, 92213.7
4153, 0.00205078, 0, 0.000820312, 0.000410156, 0.472152, 0.496616, 9.7415, 0.915527, -0.762939, 2.74658, 21.6256, 92213.4
4163, 0.00123047, 0.00123047, 0, 0.00123047, 0.709451, 0.998125, 9.49686, 5.49316, -4.08936, 5.4779, 21.6161, 92213.4
4173, 0.00123047, 0.00205078, 0.00164062, 0.00123047, 0.570008, 1.26723, 10.0522, -5.85937, -4.2572, 12.9852, 21.6217, 92213.9
4183, 0.00123047, 0.00123047, 0.00205078, 0.00123047, -1.41401, -1.64642, 9.97391, -7.59888, 1.25122, -3.34167, 21.6104, 92213.3
4193, 0.00328125, 0.00123047, 0.00205078, 0.000410156, 0.181032, 0.198157, 9.70236, 4.21143, -0.701904, 0.0762939, 21.6213, 92213.8
4203, 0.000820312, 0.000410156, 0.00287109, 0.00123047, 0.178586, 0.315584, 9.92253, 0.0457764, -0.0762939, 0.106812, 21.6312, 92213.8
4213, 0.000410156, 0.000410156, 0, 0.00205078, 0.14189, 0.244638, 9.84425, -9.75037, 1.63269, 0.0152588, 21.6078, 92213.6
4223, 0.00205078, 0, 0.00246094, 0.00205078, 0.122319, 0.151676, 9.63386, -8.01086, 1.25122, 0.0457764, 21.6201, 92213.7
4243, 0.000410156, -0.000410156, 0.00164062, 0.00451172, 0.156569, 0.22996, 9.81979, 7.78198, -0.717163, -0.0152588, 21.6168, 92214
4253, 0.00164062, -0.000820312, 0.00123047, 0.00287109, 0.156569, 0.278888, 9.93966, 3.08228, 0.62561, -0.0305176, 21.6313, 92213.6
4263, -0.000820312, -0.00164062, 0.000820312, 0.00205078, 0.173693, 0.254424, 9.8785, -4.3335, 0.701904, 0.0305176, 21.6269, 92213.4
4273, 0.00287109, 0.00164062, 0.000820312, -0.000820312, 0.161461, 0.166354, 9.72193, -4.95911, -0.335693, 0.0457764, 21.6228, 92213.1
4283, 0.00287109, 0.000410156, -0.000820312, -0.000820312, 0.173693, 0.144337, 9.673, 0.778198, -1.25122, 0.0305176, 21.6275, 92214
