timestamp, current1, current2, current3, current4, accel x, accel y, accel z, degrees x, degrees y, degrees z, baro temp, baro pressure
135003133, 0.0225586, 0.0200977, 0.0292236, 0.0301465, -9.51643, -1.52654, 3.44696, 4.57764, 22.4762, 1.12915, 0, 0
135005593, 0.0229687, 0.0205078, 0.0284033, 0.0309668, -9.13725, -1.88372, 3.43717, 4.2572, 22.9187, -0.595093, 0, 0
135005663, 0.0183545, 0.0221484, 0.0292236, 0.0292236, -9.13969, -1.9302, 3.3491, 2.24304, 23.0408, -0.62561, 0, 0
135005673, 0.0241992, 0.0217383, 0.0288135, 0.0301465, -9.11278, -1.90084, 3.29039, 0.656128, 23.3459, -0.442505, 0, 0
135005683, 0.0200977, 0.0221484, 0.0288135, 0.0301465, -9.06385, -1.77118, 3.1485, -1.15967, 23.5291, -0.12207, 0, 0
135005693, 0.0217383, 0.0225586, 0.027583, 0.0305566, -9.09566, -1.68801, 3.1485, -4.01306, 23.7885, 0.366211, 0, 0
135005703, 0.0233789, 0.0213281, 0.0288135, 0.027583, -9.11278, -1.63663, 3.17296, -6.86645, 23.8953, 0.976562, 0, 0
135005723, 0.0237891, 0.0200977, 0.0297363, 0.0297363, -9.25712, -1.71981, 3.1118, -9.552, 24.1394, 2.13623, 0, 0
135005733, 0.0213281, 0.0237891, 0.0297363, 0.0297363, -9.30849, -1.79565, 3.0751, -8.83484, 24.1394, 2.71606, 0, 0
135005743, 0.0200977, 0.0221484, 0.0305566, 0.0301465, -9.12012, -1.71492, 3.0115, -8.13293, 24.231, 3.20435, 0, 0
135005753, 0.019585, 0.0217383, 0.0271729, 0.0301465, -9.18862, -1.64642, 2.96502, -8.81958, 24.4446, 3.76892, 0, 0
135005763, 0.019585, 0.0217383, 0.0279932, 0.0297363, -9.31094, -1.63174, 2.82068, -9.58252, 24.5056, 4.16565, 0, 0
135005773, 0.0213281, 0.0225586, 0.0284033, 0.0288135, -9.26446, -1.61461, 2.63476, -8.88062, 24.5819, 4.5166, 0, 0
135005783, 0.0217383, 0.019585, 0.0284033, 0.0288135, -9.32806, -1.65376, 2.69592, -6.42395, 24.6277, 4.82178, 0, 0
135005793, 0.0205078, 0.0187646, 0.027583, 0.0288135, -9.44304, -1.76384, 2.74974, -3.09753, 24.5972, 5.20325, 0, 0
135005813, 0.0217383, 0.0237891, 0.0292236, 0.0321973, -9.32806, -1.83723, 2.66411, 3.43323, 24.5361, 5.79834, 0, 0
135005823, 0.0213281, 0.0237891, 0.0297363, 0.0292236, -9.18617, -1.78831, 2.59072, 4.80652, 24.6277, 6.02722, 0, 0
135005833, 0.0225586, 0.0205078, 0.0297363, 0.0292236, -9.1348, -1.72715, 2.56136, 4.79126, 24.6429, 6.36291, 0, 0
135005843, 0.0217383, 0.0225586, 0.0297363, 0.031377, -9.17883, -1.72225, 2.57604, 3.89099, 24.5972, 6.54602, 0, 0
135005853, 0.0233789, 0.0233789, 0.0284033, 0.0292236, -9.32806, -1.72715, 2.68124, 2.80762, 24.4293, 6.79016, 0, 0
135005863, 0.0221484, 0.0213281, 0.0288135, 0.0297363, -9.32317, -1.75161, 2.66656, 1.0376, 24.231, 6.97327, 0, 0
135005873, 0.0221484, 0.0213281, 0.0301465, 0.0326074, -9.2669, -1.69779, 2.56626, -1.80054, 23.9868, 7.06482, 0, 0
135005893, 0.0221484, 0.0241992, 0.0297363, 0.0321973, -8.97578, -1.64397, 2.2996, -10.9558, 23.8647, 7.17163, 0, 0
135005903, 0.0205078, 0.020918, 0.0271729, 0.0301465, -8.81188, -1.6562, 2.08677, -15.4266, 23.9258, 7.17163, 0, 0
135005913, 0.0225586, 0.0213281, 0.0297363, 0.0309668, -8.74093, -1.71736, 1.962, -18.1427, 23.8037, 7.30896, 0, 0
