timestamp, current1, current2, current3, current4, accelx, accely, accelz, degrees x, degrees y, degrees z, baro temp, baro pressure
138603153, 0.0426563, 0.0179443, 0.0255322, 0.0581396, -0.0587132, 7.91161, -6.39974, 0.259399, 0.152588, 0.0305176, 0, 0
138605613, 0.0418359, 0.0158936, 0.0255322, 0.0573193, 0.0366958, 8.04126, -6.14532, 0.0762939, 0.0610352, -0.0305176, 0, 0
138605663, 0.0414258, 0.0167139, 0.0221484, 0.0573193, 0.031803, 8.00946, -6.18691, 0.289917, 0.183105, -0.0305176, 0, 0
138605673, 0.0414258, 0.0167139, 0.0233789, 0.060293, 0.00733915, 8.0535, -6.25051, 0.335693, 0.305176, -0.0152588, 0, 0
138605683, 0.0414258, 0.0154834, 0.0241992, 0.060293, -0.0293566, 8.03393, -6.35326, 0.289917, 0.335693, -0.106812, 0, 0
138605693, 0.0434766, 0.0175342, 0.0241992, 0.0569092, -0.095409, 7.9801, -6.44622, -0.183105, 0.518799, -0.0457764, 0, 0
138605703, 0.0418359, 0.0163037, 0.0259424, 0.056499, -0.112534, 7.91895, -6.45601, -0.488281, 0.396728, -0.0762939, 0, 0
138605723, 0.0430664, 0.0191748, 0.0247119, 0.0577295, -0.0929626, 7.89937, -6.44378, 0.0762939, 0.198364, -0.152588, 0, 0
138605733, 0.0430664, 0.0137402, 0.0237891, 0.0577295, -0.063606, 7.87246, -6.46824, 0.534058, 0.152588, -0.12207, 0, 0
138605743, 0.0406055, 0.0141504, 0.0225586, 0.0598828, -0.0538205, 7.88714, -6.4609, 0.564575, 0.0305176, -0.0762939, 0, 0
138605753, 0.0418359, 0.0163037, 0.0225586, 0.0607031, -0.0660524, 7.94586, -6.47069, 0.213623, 0.0305176, 0.0152588, 0, 0
138605763, 0.0426563, 0.0167139, 0.0229687, 0.0594727, -0.110087, 8.02903, -6.40953, 0.0610352, -0.0915527, 0.106812, 0, 0
138605773, 0.0430664, 0.0167139, 0.0241992, 0.0581396, -0.154122, 8.06084, -6.40708, -0.244141, -0.106812, 0.12207, 0, 0
138605783, 0.0430664, 0.0163037, 0.0241992, 0.0581396, -0.190818, 7.99723, -6.48292, -0.305176, -0.0305176, 0.167847, 0, 0
138605793, 0.0418359, 0.017124, 0.0247119, 0.0585498, -0.222621, 7.90916, -6.57833, -0.259399, -0.198364, 0.198364, 0, 0
