timestamp, current1, current2, current3, current4, accel x, accel y, accel z, degrees x, degrees y, degrees z, baro temp, baro pressure
136803143, 0.0229687, 0.0284033, 0.0129199, 0.0137402, 0.11498, 7.54954, -6.86211, -0.0152588, -0.0152588, -0.0457764, 0, 0
136805603, 0.0221484, 0.0251221, 0.0150732, 0.0158936, 0.110087, 7.56911, -6.84498, -0.137329, -0.0610352, -0.0762939, 0, 0
136805653, 0.0237891, 0.0241992, 0.0150732, 0.0137402, 0.119873, 7.55688, -6.84743, -0.0762939, 0.0457764, 0.0762939, 0, 0
136805663, 0.0217383, 0.0225586, 0.0163037, 0.0158936, 0.127212, 7.58134, -6.84498, -0.0762939, -0.0305176, 0.0305176, 0, 0
136805673, 0.0233789, 0.0267627, 0.0141504, 0.0158936, 0.117426, 7.56422, -6.86455, -0.106812, -0.0610352, -0.0152588, 0, 0
136805683, 0.0255322, 0.0247119, 0.0141504, 0.0154834, 0.119873, 7.57156, -6.84988, -0.0762939, 0.0152588, -0.0152588, 0, 0
136805693, 0.0217383, 0.0247119, 0.0145605, 0.0141504, 0.117426, 7.56177, -6.85721, -0.0457764, -0.0152588, -0.0152588, 0, 0
136805713, 0.0241992, 0.0263525, 0.0116895, 0.0167139, 0.11498, 7.55688, -6.87434, -0.0610352, 0.0457764, 0.0305176, 0, 0
136805723, 0.0241992, 0.027583, 0.0141504, 0.0163037, 0.110087, 7.57156, -6.87189, -0.0915527, -0.0305176, -0.0152588, 0, 0
136805733, 0.0229687, 0.027583, 0.0141504, 0.0145605, 0.102748, 7.55933, -6.87679, -0.183105, -0.0305176, -0.0457764, 0, 0
136805743, 0.0229687, 0.027583, 0.0150732, 0.0150732, 0.11498, 7.55443, -6.85721, -0.0915527, 0, -0.0762939, 0, 0
136805753, 0.0241992, 0.0247119, 0.0133301, 0.0120996, 0.105195, 7.53976, -6.86455, -0.106812, -0.0610352, 0.0457764, 0, 0
136805763, 0.0241992, 0.0271729, 0.0133301, 0.0120996, 0.119873, 7.56911, -6.87679, -0.0152588, -0.0610352, 0, 0, 0
136805773, 0.0255322, 0.0255322, 0.0129199, 0.0150732, 0.110087, 7.56667, -6.86211, -0.0915527, 0.0152588, 0.0305176, 0, 0
136805783, 0.0251221, 0.0229687, 0.0145605, 0.0158936, 0.110087, 7.54465, -6.85966, -0.106812, -0.0152588, 0.0305176, 0, 0
