timestamp, current1, current2, current3, current4, accel x, accel y, accel z, degrees x, degrees y, degrees z, baro temp, baro pressure
4463, 0.00205078, 0.0384521, 0.242915, -0.112178, 0.0293566, 0.11498, 9.86871, -0.0457764, 0.0457764, 0.0305176, 26.2614, 90839.8
4473, 0.00205078, 0.0430664, 0.258398, -0.112178, 0.0342494, 0.117426, 9.86137, -0.0152588, -0.0152588, 0.0457764, 26.2657, 90840
4483, 0.000410156, 0.0430664, 0.258398, -0.107974, 0.0269102, 0.132105, 9.85648, -0.0305176, 0, 0.0762939, 26.258, 90840
4493, -0.00123047, 0.038042, 0.242095, -0.114741, 0.0464813, 0.124766, 9.8785, 0.0457764, -0.0152588, 0.0305176, 26.2595, 90840.2
4503, 0.000410156, 0.0426563, 0.257168, -0.107974, 0.0440349, 0.124766, 9.86627, 0.0457764, 0.0305176, 0, 26.2433, 90840.6
4513, 0.000410156, 0.0368115, 0.242915, -0.114741, 0.0293566, 0.119873, 9.88339, -0.0152588, 0.0152588, 0.0457764, 26.2551, 90839.3
4523, 0.000410156, 0.0397852, 0.257988, -0.114741, 0.0513741, 0.117426, 9.86871, 0.0152588, -0.0610352, 0.0152588, 26.2578, 90840.4
4533, -0.000410156, 0.0410156, 0.257988, -0.110127, 0.0342494, 0.105195, 9.8467, 0.0457764, 0.0152588, 0.106812, 26.2701, 90840
4553, 0.00246094, 0.0422461, 0.257168, -0.110127, 0.0391421, 0.122319, 9.86382, -0.0152588, 0, 0.0305176, 26.2609, 90839.9
4563, 0.00123047, 0.0406055, 0.246196, -0.111768, 0.0293566, 0.132105, 9.8467, -0.0152588, -0.0915527, 0, 26.2643, 90840.2
4573, 0.00123047, 0.0418359, 0.252964, -0.111768, 0.0440349, 0.124766, 9.86627, -0.0457764, 0.0457764, 0, 26.2575, 90840.1
4583, 0.00287109, 0.0430664, 0.2504, -0.110127, 0.0391421, 0.119873, 9.87605, -0.0610352, 0.0152588, 0.0610352, 26.2569, 90839.5
4593, 0.00205078, 0.0430664, 0.2504, -0.111357, 0.0538205, 0.134551, 9.8418, -0.0152588, -0.0152588, 0.0610352, 26.2528, 90840.1
4603, 0.000820312, 0.0397852, 0.253374, -0.113511, 0.00978554, 0.136998, 9.87605, 0.0610352, 0.0305176, -0.0152588, 26.2722, 90840.1
4613, 0.000410156, 0.0376318, 0.253784, -0.110127, 0.0391421, 0.112534, 9.87361, -0.0457764, 0.0457764, 0, 26.2603, 90840.1
4633, 0.00123047, 0.0422461, 0.255015, -0.114331, 0.0195711, 0.122319, 9.88584, 0.0152588, -0.106812, 0.0610352, 26.2795, 90840.2
4643, 0.00205078, 0.0422461, 0.255015, -0.106333, 0.0342494, 0.122319, 9.86627, -0.0305176, 0, -0.0152588, 26.2751, 90840.1
4653, 0.000820312, 0.0397852, 0.24835, -0.112998, 0.0195711, 0.129658, 9.85893, -0.0457764, 0.0762939, 0.0152588, 26.2586, 90840.3
4663, 0.00123047, 0.0422461, 0.255425, -0.107563, 0.0440349, 0.132105, 9.86871, 0, -0.106812, -0.0152588, 26.2611, 90839.8
4673, 0.00287109, 0.0410156, 0.245786, -0.112588, 0.0538205, 0.122319, 9.88339, -0.0457764, -0.0152588, 0.0152588, 26.2579, 90840.5
4683, 0.00287109, 0.0384521, 0.257168, -0.112588, 0.0195711, 0.134551, 9.86627, -0.0305176, -0.0762939, 0, 26.2638, 90840.6
4693, 0.000410156, 0.0384521, 0.257168, -0.110127, 0.0366958, 0.132105, 9.85404, -0.0610352, 0.0305176, 0.0305176, 26.2671, 90840
4703, 0.00410156, 0.0392725, 0.246709, -0.114331, 0.0269102, 0.122319, 9.87361, -0.0457764, 0, 0.0457764, 26.2538, 90839.8
4723, 0.000820312, 0.0372217, 0.244556, -0.117612, 0.0366958, 0.122319, 9.85893, -0.0152588, 0.0610352, 0.0152588, 26.2596, 90839.8
4733, 0.000820312, 0.0392725, 0.257988, -0.117612, 0.0562668, 0.117426, 9.86382, -0.0305176, -0.0610352, 0.0610352, 26.2638, 90840
4743, 0.000820312, 0.0401953, 0.257988, -0.107153, 0.0391421, 0.124766, 9.87605, 0, -0.0457764, 0.0457764, 26.2621, 90840.5
4753, 0.000410156, 0.0401953, 0.242915, -0.115972, 0.0464813, 0.124766, 9.86137, -0.0610352, -0.0305176, 0.0610352, 26.2601, 90839.8
4763, 0.00164062, 0.0418359, 0.261782, -0.107563, 0.0489277, 0.110087, 9.85404, -0.0610352, -0.0457764, 0.0152588, 26.2707, 90840.3
4773, -0.000410156, 0.0397852, 0.241582, -0.114331, 0.0293566, 0.105195, 9.90052, 0.0457764, -0.0305176, 0.0305176, 26.257, 90840.5
4783, -0.000410156, 0.0414258, 0.260449, -0.114331, 0.0366958, 0.102748, 9.85648, -0.0305176, 0.0610352, -0.0305176, 26.2618, 90840.1
4803, 0.00164062, 0.0384521, 0.241172, -0.115562, 0.0415885, 0.107641, 9.86627, -0.0610352, 0, 0, 26.2598, 90840.6
4813, -0.00164062, 0.0418359, 0.263013, -0.110127, 0.0513741, 0.119873, 9.85648, 0.0305176, 0.0457764, 0.0610352, 26.2748, 90840.2
